fecha,precio_apertura_binance,precio_maximo_binance,precio_minimo_binance,precio_cierre_binance
2023-02-26,308.57,308.57,308.57,308.57
2023-02-27,304.56,304.56,299.82,299.82
2023-03-06,290.22,290.22,288.02,288.02
2023-03-10,289.25,289.25,277.03,277.03
2023-03-14,275.74,309.58,275.74,309.58
2023-03-18,307.72,339.76,307.72,333.03
2023-03-22,337.45,337.45,323.6,323.6
2023-03-26,331.25,331.25,324.08,329.15
2023-03-30,311.51,317.12,311.51,317.12
2023-04-02,317.26,317.26,314.11,314.11
2023-04-06,308.85,314.28,308.85,312.37
2023-04-10,310.83,318.23,310.66,318.23
2023-04-14,322.73,328.98,320.29,328.98
2023-04-18,333.27,347.87,333.27,343.01
2023-04-22,322.35,332.41,317.78,332.41
2023-04-26,330.68,339.1,330.44,330.44
2023-04-29,331.51,331.51,321.77,321.77
2023-05-02,337.62,337.62,322.21,322.21
2023-05-06,326.01,326.82,322.7,322.7
2023-05-10,322.31,322.31,312.13,314.58
2023-05-14,307.79,311.9,307.79,311.9
2023-05-18,313.94,313.95,309.5,309.5
2023-05-22,308.98,310.47,306.56,309.26
2023-05-26,313.46,313.46,304.69,307.15
2023-05-30,307.45,314.34,307.45,311.6
2023-06-02,307.01,307.3,304.98,307.3
2023-06-06,306.66,306.66,276.94,281.47
2023-06-10,259.23,262.17,239.27,239.27
2023-06-14,235.2,243.25,231.07,237.51
2023-06-18,236.1,244.43,236.1,244.0
2023-06-22,242.74,249.36,240.92,240.92
2023-06-26,244.3,244.3,236.17,236.17
2023-06-29,237.5,237.5,230.5,233.41
2023-07-02,240.52,247.35,240.52,245.63
2023-07-06,246.03,246.03,232.5,232.5
2023-07-10,235.34,245.44,234.14,245.44
2023-07-14,248.4,255.79,244.27,247.7
2023-07-18,251.09,251.09,240.27,240.27
2023-07-22,241.33,243.77,240.54,240.54
2023-07-26,242.38,242.38,237.73,239.02
2023-07-30,240.42,242.56,240.42,242.54
2023-08-02,241.19,247.43,240.38,240.38
2023-08-06,241.14,242.88,241.14,242.57
2023-08-10,241.74,245.18,241.23,241.23
2023-08-14,239.6,240.36,239.6,240.36
2023-08-18,236.61,236.61,215.97,215.97
2023-08-22,217.08,217.08,210.59,210.84
2023-08-26,216.47,218.29,216.47,218.29
