fecha,precio_apertura_btc,precio_maximo_btc,precio_minimo_btc,precio_cierre_btc
2023-02-26,23541.0,23541.0,23541.0,23541.0
2023-02-27,23518.0,23634.0,23156.0,23464.0
2023-03-06,22367.0,22422.0,22348.0,22415.0
2023-03-10,22217.0,22217.0,20195.0,20195.0
2023-03-14,20522.0,24759.0,20522.0,24759.0
2023-03-18,24471.0,27467.0,24471.0,27108.0
2023-03-22,28187.0,28264.0,27449.0,27449.0
2023-03-26,28460.0,28460.0,27595.0,28048.0
2023-03-30,27182.0,28395.0,27182.0,28041.0
2023-04-02,28517.0,28517.0,28237.0,28237.0
2023-04-06,27815.0,28197.0,27815.0,28043.0
2023-04-10,27934.0,29658.0,27934.0,29658.0
2023-04-14,30261.0,30468.0,29904.0,30468.0
2023-04-18,30312.0,30366.0,29467.0,30366.0
2023-04-22,28833.0,28833.0,27300.0,27862.0
2023-04-26,27607.0,28352.0,27512.0,28352.0
2023-04-29,29484.0,29484.0,29218.0,29218.0
2023-05-02,29362.0,29362.0,28126.0,28654.0
2023-05-06,28988.0,29520.0,28846.0,28888.0
2023-05-10,28611.0,28611.0,27607.0,27640.0
2023-05-14,27025.0,27025.0,26788.0,26912.0
2023-05-18,27228.0,27390.0,26843.0,26843.0
2023-05-22,26884.0,27094.0,26774.0,26870.0
2023-05-26,27223.0,27223.0,26339.0,26718.0
2023-05-30,26848.0,28110.0,26848.0,27714.0
2023-06-02,27245.0,27248.0,26824.0,27248.0
2023-06-06,27066.0,27315.0,25793.0,27217.0
2023-06-10,26346.0,26508.0,25858.0,25858.0
2023-06-14,25917.0,25917.0,25108.0,25108.0
2023-06-18,25565.0,26501.0,25565.0,26333.0
2023-06-22,26779.0,30102.0,26779.0,29936.0
2023-06-26,30629.0,30629.0,30286.0,30286.0
2023-06-29,30694.0,30694.0,30083.0,30467.0
2023-07-02,30481.0,30584.0,30481.0,30572.0
2023-07-06,31135.0,31135.0,29990.0,29990.0
2023-07-10,30315.0,30394.0,30170.0,30394.0
2023-07-14,30621.0,31446.0,30312.0,30312.0
2023-07-18,30298.0,30298.0,29848.0,29848.0
2023-07-22,29920.0,29920.0,29710.0,29710.0
2023-07-26,30058.0,30058.0,29185.0,29364.0
2023-07-30,29200.0,29357.0,29200.0,29278.0
2023-08-02,29233.0,29537.0,29147.0,29147.0
2023-08-06,29176.0,29176.0,29044.0,29044.0
2023-08-10,29178.0,29780.0,29178.0,29424.0
2023-08-14,29397.0,29412.0,29285.0,29401.0
2023-08-18,29170.0,29170.0,26043.0,26043.0
2023-08-22,26105.0,26161.0,26034.0,26034.0
2023-08-26,26450.0,26450.0,26135.0,26135.0
