fecha,precio_apertura_ethereum,precio_maximo_ethereum,precio_minimo_ethereum,precio_cierre_ethereum
2023-02-26,1640.58,1640.58,1640.58,1640.58
2023-02-27,1633.98,1663.93,1606.63,1647.66
2023-03-06,1570.67,1570.67,1563.23,1567.35
2023-03-10,1563.81,1563.81,1429.6,1429.6
2023-03-14,1474.4,1708.3,1474.4,1708.3
2023-03-18,1658.07,1793.3,1658.07,1769.43
2023-03-22,1801.37,1811.41,1744.44,1747.64
2023-03-26,1824.96,1824.96,1751.22,1776.87
2023-03-30,1719.17,1795.54,1719.17,1792.91
2023-04-02,1824.02,1824.02,1797.74,1797.74
2023-04-06,1810.47,1911.34,1810.47,1872.25
2023-04-10,1866.66,1909.88,1851.05,1909.88
2023-04-14,1892.94,2102.95,1892.94,2102.95
2023-04-18,2093.17,2118.6,2077.54,2103.28
2023-04-22,1936.43,1943.44,1850.15,1877.54
2023-04-26,1863.64,1870.57,1842.63,1867.59
2023-04-29,1910.46,1910.46,1894.43,1905.27
2023-05-02,1885.39,1885.39,1832.73,1870.83
2023-05-06,1903.73,1993.61,1877.4,1900.41
2023-05-10,1895.23,1895.23,1842.87,1842.87
2023-05-14,1798.07,1808.69,1797.2,1799.01
2023-05-18,1820.04,1823.66,1802.39,1802.39
2023-05-22,1812.13,1818.97,1804.93,1818.4
2023-05-26,1854.19,1854.19,1800.74,1828.96
2023-05-30,1830.31,1913.82,1830.31,1901.08
2023-06-02,1874.69,1907.21,1861.73,1907.21
2023-06-06,1892.08,1893.18,1813.68,1883.24
2023-06-10,1832.32,1846.03,1754.67,1754.67
2023-06-14,1751.72,1751.72,1650.68,1650.68
2023-06-18,1664.98,1726.37,1664.98,1719.27
2023-06-22,1734.79,1892.9,1734.79,1874.18
2023-06-26,1891.35,1899.15,1859.8,1859.8
2023-06-29,1890.01,1890.01,1828.46,1853.45
2023-07-02,1934.05,1934.05,1924.57,1933.96
2023-07-06,1953.78,1953.78,1855.47,1855.47
2023-07-10,1869.32,1875.27,1864.87,1875.27
2023-07-14,1875.87,2003.25,1873.51,1935.94
2023-07-18,1931.39,1931.39,1897.2,1897.2
2023-07-22,1889.22,1891.47,1858.31,1858.31
2023-07-26,1887.83,1887.83,1850.43,1871.53
2023-07-30,1858.78,1880.92,1858.78,1861.87
2023-08-02,1857.28,1869.75,1838.01,1838.01
2023-08-06,1835.7,1835.7,1826.71,1826.71
2023-08-10,1826.93,1856.84,1826.93,1850.88
2023-08-14,1847.54,1848.51,1839.51,1843.51
2023-08-18,1826.91,1826.91,1660.68,1660.68
2023-08-22,1669.23,1682.46,1635.19,1635.19
2023-08-26,1679.12,1679.12,1658.4,1658.4
