fecha,precio_apertura_tether,precio_maximo_tether,precio_minimo_tether,precio_cierre_tether
2023-02-26,0.999806,0.999806,0.999806,0.999806
2023-02-27,1.001,1.001,0.998543,1.0
2023-03-06,1.001,1.001,1.0,1.0
2023-03-10,1.001,1.002,1.0,1.001
2023-03-14,1.003,1.007,1.003,1.004
2023-03-18,1.007,1.007,1.0,1.0
2023-03-22,1.006,1.01,1.006,1.008
2023-03-26,1.005,1.008,1.001,1.001
2023-03-30,1.002,1.002,1.001,1.001
2023-04-02,1.001,1.002,1.001,1.002
2023-04-06,1.0,1.001,1.0,1.001
2023-04-10,1.001,1.001,1.001,1.001
2023-04-14,1.001,1.002,1.001,1.001
2023-04-18,1.001,1.002,1.001,1.001
2023-04-22,1.001,1.002,1.0,1.002
2023-04-26,1.001,1.001,1.0,1.0
2023-04-29,1.001,1.001,1.001,1.001
2023-05-02,1.001,1.001,1.001,1.001
2023-05-06,1.0,1.002,1.0,1.002
2023-05-10,1.001,1.001,0.998774,0.999773
2023-05-14,0.999993,1.001,0.999993,1.0
2023-05-18,1.002,1.002,0.999302,0.999371
2023-05-22,1.001,1.001,1.0,1.0
2023-05-26,1.0,1.001,0.999663,1.001
2023-05-30,1.0,1.0,1.0,1.0
2023-06-02,1.0,1.0,1.0,1.0
2023-06-06,1.0,1.002,1.0,1.0
2023-06-10,0.999849,1.001,0.999803,1.001
2023-06-14,1.001,1.001,0.999,0.999058
2023-06-18,0.999088,0.999607,0.998907,0.999607
2023-06-22,1.0,1.001,0.999061,1.001
2023-06-26,1.001,1.001,0.9997,1.0
2023-06-29,0.99982,1.0,0.999451,1.0
2023-07-02,0.999596,1.0,0.999019,0.999019
2023-07-06,0.999796,0.999999,0.999232,0.999999
2023-07-10,1.0,1.0,0.999836,1.0
2023-07-14,1.0,1.001,1.0,1.001
2023-07-18,1.001,1.001,0.999807,1.0
2023-07-22,1.0,1.0,0.999749,0.999749
2023-07-26,0.999898,1.001,0.999606,1.001
2023-07-30,0.99974,1.0,0.99974,1.0
2023-08-02,0.999867,0.999942,0.999242,0.999242
2023-08-06,0.99868,0.998987,0.99832,0.99832
2023-08-10,0.998873,0.999945,0.998873,0.998899
2023-08-14,0.998938,0.999384,0.998713,0.998713
2023-08-18,0.998893,0.99975,0.996174,0.999381
2023-08-22,1.0,1.0,0.999208,1.0
2023-08-26,1.001,1.001,0.99927,0.99927
